ii: 1 
0 0 5.46421 
1 0 5.4708 
0 0 7.08474 
ii: 1 (-20 dB)
0 3822.94 5.46421 
1 0 5.4708 
0 3822.87 7.08474 
1 3823.05 3.04388 
0 3822.94 5.68275 
1 0 5.65576 
0 3823.1 2.17651 
1 3823.1 2.27458 
0 3822.94 5.39874 
1 0 5.41298 
1 3823.01 4.26597 
1 3823.01 4.34333 
1 3823.01 4.37339 
1 3822.98 4.70533 
ii: 1 
0 3822.94 5.46421 
1 0 5.4708 
0 3822.87 7.08474 
1 3823.05 3.04388 
0 3822.94 5.68275 
1 0 5.65576 
0 3823.1 2.17651 
1 3823.1 2.27458 
0 3822.94 5.39874 
1 0 5.41298 
1 3823.01 4.26597 
1 3823.01 4.34333 
1 3823.01 4.37339 
1 3822.98 4.70533 

ii: 1 
0 3822.94 5.46421 
1 3822.94 5.4708 
0 3822.87 7.08474 
1 3823.05 3.04388 
0 3822.94 5.68275 
1 3822.94 5.65576 
0 3823.1 2.17651 
1 3823.1 2.27458 
0 3822.94 5.39874 
1 3822.94 5.41298 
1 3823.01 4.26597 
1 3823.01 4.34333 
1 3823.01 4.37339 
1 3822.98 4.70533 
ii: 1 
0 3822.94 5.46421 
1 0 5.4708 
0 3822.87 7.08474 
1 3823.05 3.04388 
0 3822.94 5.68275 
1 0 5.65576 
0 3823.1 2.17651 
1 3823.1 2.27458 
0 3822.94 5.39874 
1 0 5.41298 
1 3823.01 4.26597 
1 3823.01 4.34333 
1 3823.01 4.37339 
1 3822.98 4.70533 
ii: 1 
0 0 5.46421 
1 0 5.4708 
0 0 7.08474 
1 0 3.04388 
0 0 5.68275 
1 0 5.65576 
0 3811.49 2.17651 
1 0 2.27458 
0 0 5.39874 
1 0 5.41298 
1 0 4.26597 
1 0 4.34333 
1 0 4.37339 
1 0 4.70533 
ii: 1 
0 3822.82 5.46421 
1 0 5.4708 
0 0 7.08474 
1 0 3.04388 
0 2439.23 5.68275 
1 0 5.65576 
0 3823.1 2.17651 
1 603.402 2.27458 
0 3822.82 5.39874 
1 0 5.41298 
1 0 4.26597 
1 0 4.34333 
1 0 4.37339 
1 0 4.70533 
ii: 1 
0 3822.94 5.46421 
1 0 5.4708 
0 0 7.08474 
1 3822.94 3.04388 
0 3822.94 5.68275 
1 0 5.65576 
0 3823.1 2.17651 
1 3823.1 2.27458 
0 3822.94 5.39874 
1 0 5.41298 
1 0 4.26597 
1 0 4.34333 
1 0 4.37339 
1 0 4.70533 
ii: 1 
0 3822.94 5.46421 
1 0 5.4708 
0 0 7.08474 
1 3823.05 3.04388 
0 3822.94 5.68275 
1 0 5.65576 
0 3823.1 2.17651 
1 3823.1 2.27458 
0 3822.94 5.39874 
1 0 5.41298 
1 0 4.26597 
1 0 4.34333 
1 0 4.37339 
1 0 4.70533 
ii: 1 
0 3822.94 5.46421 
1 0 5.4708 
0 0 7.08474 
1 3823.05 3.04388 
0 3822.94 5.68275 
1 0 5.65576 
0 3823.1 2.17651 
1 3823.1 2.27458 
0 3822.94 5.39874 
1 0 5.41298 
1 0 4.26597 
1 0 4.34333 
1 0 4.37339 
1 0 4.70533 
ii: 1 
0 3822.94 5.46421 
1 0 5.4708 
0 0 7.08474 
1 3822.94 3.04388 
0 3822.94 5.68275 
1 0 5.65576 
0 3823.1 2.17651 
1 3823.1 2.27458 
0 3822.94 5.39874 
1 0 5.41298 
1 0 4.26597 
1 0 4.34333 
1 0 4.37339 
1 0 4.70533 
ii: 1 (-22, 6, 25)
0 3822.94 5.46421 
1 0 5.4708 
0 3820.39 7.08474 
1 3822.94 3.04388 
0 3822.94 5.68275 
1 0 5.65576 
0 3823.1 2.17651 
1 3823.1 2.27458 
0 3822.94 5.39874 
1 0 5.41298 
1 3429.24 4.26597 
1 3188.42 4.34333 
1 3188.42 4.37339 
1 1634.04 4.70533 
ii: 1 (-22, 6, 25)
0 3822.94 5.46421 
1 0 5.4708 
0 3820.39 7.08474 
1 3822.94 3.04388 
0 3822.94 5.68275 
1 0 5.65576 
0 3823.1 2.17651 
1 3823.1 2.27458 
0 3822.94 5.39874 
1 0 5.41298 
1 3429.24 4.26597 
1 3188.42 4.34333 
1 3188.42 4.37339 
1 1634.04 4.70533 
ii: 1  (-22, 6, 20)
0 3823.08 2.59376 
0 0 4.2247 
0 3820.32 6.29695 
1 1081.27 2.58411 
1 0 3.69244 
1 0 6.18236 
1 0 5.4411 
ii: 1 (-22, 6, 23)
0 3823.08 2.59376 
0 3774.02 4.2247 
0 3822.89 6.29695 
1 3822.35 2.58411 
1 0 3.69244 
1 0 6.18236 
1 0 5.4411 
ii: 1 (-22, 6, 24)
0 3823.1 2.0019 
0 3822.98 4.54402 
0 3640.9 6.48472 
1 3823.1 1.98937 
1 2432.97 4.0539 
1 0 6.27229 
1 0 5.48503 
ii: 1 (-22, 6, 23.5)
0 3823.1 2.0019 
0 3822.87 4.54402 
0 3193.42 6.48472 
1 3823.1 1.98937 
1 1078.14 4.0539 
1 0 6.27229 
1 0 5.48503 
ii: 1 (-22, 6, 23.2)
0 3823.1 2.0019 
0 3822.87 4.54402 
0 2663.64 6.48472 
1 3823.1 1.98937 
1 395.438 4.0539 
1 0 6.27229 
