ii: 1 
0 0 5.46421 
1 0 5.4708 
0 0 7.08474 
1 0 3.04388 
0 0 5.68275 
1 0 5.65576 
0 3811.49 2.17651 
1 0 2.27458 
0 0 5.39874 
1 0 5.41298 
1 0 4.26597 
1 0 4.34333 
1 0 4.37339 
1 0 4.70533 
ii: 1 
0 0 5.46421 
1 0 5.4708 
0 0 7.08474 
1 0 3.04388 
0 0 5.68275 
1 0 5.65576 
0 3811.49 2.17651 
1 0 2.27458 
0 0 5.39874 
1 0 5.41298 
1 0 4.26597 
1 0 4.34333 
1 0 4.37339 
1 0 4.70533 
ii: 1 
0 0 5.46421 
1 0 5.4708 
0 0 7.08474 
1 0 3.04388 
0 0 5.68275 
1 0 5.65576 
0 3811.49 2.17651 
1 0 2.27458 
0 0 5.39874 
1 0 5.41298 
1 0 4.26597 
1 0 4.34333 
1 0 4.37339 
1 0 4.70533 
ii: 1 
0 0 5.46421 
ii: 1 
0 3822.94 5.46421 
1 3822.94 5.4708 
0 3822.87 7.08474 
1 3823.05 3.04388 
0 3822.94 5.68275 
1 3822.94 5.65576 
0 3823.1 2.17651 
1 3823.1 2.27458 
0 3822.94 5.39874 
1 3822.94 5.41298 
1 3823.01 4.26597 
1 3823.01 4.34333 
1 3823.01 4.37339 
1 3822.98 4.70533 
ii: 1 
0 3823.21 5.46421 
1 3823.21 5.4708 
0 3823.13 7.08474 
1 3823.33 3.04388 
0 3823.21 5.68275 
1 3823.21 5.65576 
0 3823.38 2.17651 
1 3823.38 2.27458 
0 3823.21 5.39874 
1 3823.21 5.41298 
1 3823.27 4.26597 
1 3823.27 4.34333 
1 3823.27 4.37339 
1 3823.25 4.70533 
ii: 1 
0 3831.77 5.46421 
1 3831.77 5.4708 
0 3831.7 7.08474 
1 0 3.04388 
0 3831.77 5.68275 
1 3831.77 5.65576 
0 3831.93 2.17651 
1 3831.93 2.27458 
0 3831.77 5.39874 
1 3831.77 5.41298 
1 3831.84 4.26597 
1 3831.84 4.34333 
1 3831.84 4.37339 
1 3831.82 4.70533 
ii: 1 
0 3822.94 5.46421 
1 3822.94 5.4708 
0 3822.87 7.08474 
1 3823.05 3.04388 
0 3822.94 5.68275 
1 3822.94 5.65576 
0 3823.1 2.17651 
ii: 1 
