MODE,MCS,NCB,THROUGHPUT
EDMG_SC,1,1,357.131
EDMG_SC,1,2,713.178
EDMG_SC,1,3,1071.65
EDMG_SC,1,4,1427.91
EDMG_SC,2,1,715.71
EDMG_SC,2,2,1426.34
EDMG_SC,2,3,2143.8
EDMG_SC,2,4,2854.33
EDMG_SC,3,1,894.328
EDMG_SC,3,2,1786.02
EDMG_SC,3,3,2678.1
EDMG_SC,3,4,3575.1
EDMG_SC,4,1,1074.22
EDMG_SC,4,2,2145.42
EDMG_SC,4,3,3214.82
EDMG_SC,4,4,4289.41
EDMG_SC,5,1,1162.92
EDMG_SC,5,2,2321.84
EDMG_SC,5,3,3487.9
EDMG_SC,5,4,4648.82
EDMG_SC,6,1,1252.78
EDMG_SC,6,2,2496.46
EDMG_SC,6,3,3750.51
EDMG_SC,6,4,4998.95
EDMG_SC,7,1,1430.3
EDMG_SC,7,2,2859.68
EDMG_SC,7,3,4286.65
EDMG_SC,7,4,5710.55
EDMG_SC,8,1,1788.14
EDMG_SC,8,2,3567.61
EDMG_SC,8,3,5357.36
